nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology
8595,446.40625,0.82746875,0.67153125,0.01659375,0.54678125,0.42203125,0.23490625,351396,662615,0,0,0,131,1176
8595,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61636,952375,0,0,0,132,1368
17969,446.40625,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61686,952325,0,0,0,127,1152
17969,461.71875,0.82746875,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61650,952361,0,0,0,110,1560
17969,461.71875,0.76509375,0.67153125,0.82746875,0.60915625,0.85865625,0.23490625,61627,952384,0,0,0,111,1152
17969,461.71875,0.76509375,0.82746875,0.01659375,0.60915625,0.85865625,0.23490625,351374,662637,0,0,0,126,1320
17969,461.71875,0.76509375,0.82746875,0.82746875,0.54678125,0.85865625,0.23490625,61608,952403,0,0,0,113,1368
17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.42203125,0.23490625,61601,952410,0,0,0,111,1296
17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.04778125,12524,1001487,0,0,0,112,1176
17969,461.71875,0.76509375,0.82746875,0.82746875,0.60915625,0.85865625,0.23490625,61627,952384,0,0,0,113,1200
11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162684,851327,0,0,0,226,1416
2345,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162701,851310,0,0,0,251,1224
11720,186.09375,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162651,851360,0,0,0,157,1200
11720,48.28125,0.82746875,0.98340625,0.70271875,0.73390625,0.73390625,0.35965625,162599,851412,0,0,0,177,1272
11720,48.28125,0.26609375,0.88984375,0.70271875,0.73390625,0.73390625,0.35965625,162636,851375,0,0,0,230,1296
11720,48.28125,0.26609375,0.98340625,0.51559375,0.73390625,0.73390625,0.35965625,264930,749081,0,0,0,231,1272
11720,48.28125,0.26609375,0.98340625,0.70271875,0.04778125,0.73390625,0.35965625,162590,851421,0,0,0,228,1464
11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.17253125,0.35965625,162697,851314,0,0,0,225,1272
11720,48.28125,0.26609375,0.98340625,0.70271875,0.73390625,0.73390625,0.92103125,301388,712623,0,0,0,229,1176
11720,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491095,522916,0,0,0,130,1416
2345,48.28125,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491080,522931,0,0,0,202,1584
2345,186.09375,0.26609375,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491087,522924,0,0,0,181,1344
2345,186.09375,0.82746875,0.98340625,0.51559375,0.04778125,0.17253125,0.92103125,491229,522782,0,0,0,153,1152
2345,186.09375,0.82746875,0.88984375,0.70271875,0.04778125,0.17253125,0.92103125,301498,712513,0,0,0,148,1320
2345,186.09375,0.82746875,0.88984375,0.51559375,0.73390625,0.17253125,0.92103125,491116,522895,0,0,0,138,1200
2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.73390625,0.92103125,491244,522767,0,0,0,138,1176
2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.35965625,264976,749035,0,0,0,138,1272
2345,186.09375,0.82746875,0.88984375,0.51559375,0.04778125,0.17253125,0.92103125,491171,522840,0,0,0,157,1248
36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807523,206488,0,0,0,135,1248
27344,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807523,206488,0,0,0,128,1200
36719,431.09375,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807241,206770,0,0,0,114,1128
36719,293.28125,0.32846875,0.48440625,0.20371875,0.23490625,0.23490625,0.85865625,807241,206770,0,0,0,136,1200
36719,293.28125,0.76509375,0.39084375,0.20371875,0.23490625,0.23490625,0.85865625,807314,206697,0,0,0,130,1176
36719,293.28125,0.76509375,0.48440625,0.01659375,0.23490625,0.23490625,0.85865625,997227,16784,0,0,0,131,1224
36719,293.28125,0.76509375,0.48440625,0.20371875,0.54678125,0.23490625,0.85865625,807322,206689,0,0,0,131,1368
36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.67153125,0.85865625,807431,206580,0,0,0,118,1248
36719,293.28125,0.76509375,0.48440625,0.20371875,0.23490625,0.23490625,0.42203125,511208,502803,0,0,0,131,1176
36719,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631205,382806,0,0,0,133,1152
27344,293.28125,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631299,382712,0,0,0,157,1176
27344,431.09375,0.76509375,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631240,382771,0,0,0,130,1440
27344,431.09375,0.32846875,0.48440625,0.01659375,0.54678125,0.67153125,0.42203125,631241,382770,0,0,0,155,1200
27344,431.09375,0.32846875,0.39084375,0.20371875,0.54678125,0.67153125,0.42203125,511167,502844,0,0,0,138,1152
27344,431.09375,0.32846875,0.39084375,0.01659375,0.23490625,0.67153125,0.42203125,631331,382680,0,0,0,153,1152
27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.23490625,0.42203125,631321,382690,0,0,0,152,1320
27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.85865625,997298,16713,0,0,0,153,1200
27344,431.09375,0.32846875,0.39084375,0.01659375,0.54678125,0.67153125,0.42203125,631277,382734,0,0,0,136,1152
49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506831,507180,0,0,0,322,1248
39844,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506452,507559,0,0,0,350,1296
49219,308.59375,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506711,507300,0,0,0,271,1368
49219,170.78125,0.07896875,0.73390625,0.45321875,0.48440625,0.98340625,0.60915625,506670,507341,0,0,0,226,1224
49219,170.78125,0.01659375,0.14134375,0.45321875,0.48440625,0.98340625,0.60915625,506697,507314,0,0,0,431,1560
49219,170.78125,0.01659375,0.73390625,0.76509375,0.48440625,0.98340625,0.60915625,217874,796137,0,0,0,327,1416
49219,170.78125,0.01659375,0.73390625,0.45321875,0.29728125,0.98340625,0.60915625,506456,507555,0,0,0,323,1296
49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.92103125,0.60915625,506797,507214,0,0,0,305,1320
49219,170.78125,0.01659375,0.73390625,0.45321875,0.48440625,0.98340625,0.67153125,554379,459632,0,0,0,304,1272
49219,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238241,775770,0,0,0,258,1320
39844,170.78125,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238147,775864,0,0,0,325,1320
39844,308.59375,0.01659375,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238195,775816,0,0,0,379,1392
39844,308.59375,0.07896875,0.73390625,0.76509375,0.29728125,0.92103125,0.67153125,238308,775703,0,0,0,181,1224
39844,308.59375,0.07896875,0.14134375,0.45321875,0.29728125,0.92103125,0.67153125,554634,459377,0,0,0,248,1296
39844,308.59375,0.07896875,0.14134375,0.76509375,0.48440625,0.92103125,0.67153125,238351,775660,0,0,0,272,1368
39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.98340625,0.67153125,238359,775652,0,0,0,274,1296
39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.60915625,217666,796345,0,0,0,262,1440
39844,308.59375,0.07896875,0.14134375,0.76509375,0.29728125,0.92103125,0.67153125,238286,775725,0,0,0,252,1368
24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8056,1005955,0,0,0,154,1152
14844,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,7984,1006027,0,0,0,159,1368
24219,63.59375,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8007,1006004,0,0,0,228,1344
24219,415.78125,0.57796875,0.23490625,0.95221875,0.98340625,0.48440625,0.11015625,8041,1005970,0,0,0,155,1176
24219,415.78125,0.51559375,0.64034375,0.95221875,0.98340625,0.48440625,0.11015625,8005,1006006,0,0,0,135,1344
24219,415.78125,0.51559375,0.23490625,0.26609375,0.98340625,0.48440625,0.11015625,122956,891055,0,0,0,156,1344
24219,415.78125,0.51559375,0.23490625,0.95221875,0.79628125,0.48440625,0.11015625,8006,1006005,0,0,0,154,1248
24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.42203125,0.11015625,8028,1005983,0,0,0,153,1176
24219,415.78125,0.51559375,0.23490625,0.95221875,0.98340625,0.48440625,0.17253125,12535,1001476,0,0,0,154,1488
24219,63.59375,0.57796875,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192630,821381,0,0,0,178,1272
14844,415.78125,0.57796875,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192632,821379,0,0,0,131,1272
14844,63.59375,0.51559375,0.64034375,0.26609375,0.79628125,0.42203125,0.17253125,192544,821467,0,0,0,179,1128
14844,63.59375,0.57796875,0.23490625,0.26609375,0.79628125,0.42203125,0.17253125,192594,821417,0,0,0,225,1368
14844,63.59375,0.57796875,0.64034375,0.95221875,0.79628125,0.42203125,0.17253125,12512,1001499,0,0,0,180,1296
14844,63.59375,0.57796875,0.64034375,0.26609375,0.98340625,0.42203125,0.17253125,192569,821442,0,0,0,183,1224
14844,63.59375,0.57796875,0.64034375,0.26609375,0.79628125,0.48440625,0.17253125,192536,821475,0,0,0,184,1320
